p_success,P_help_statistical,P_help_identified,u_saved,cost_stat,cost_id,beta
0.0,0.07585818002124356,0.3208213008246074,2.0,0.5,0.15,5.0
0.01,0.06416341574093666,0.28292315807388874,2.0,0.5,0.15,5.0
0.02,0.05785629423701831,0.26111226101068996,2.0,0.5,0.15,5.0
0.03,0.05346853614816275,0.24532360959815,2.0,0.5,0.15,5.0
0.04,0.05022459286447231,0.2333088851591274,2.0,0.5,0.15,5.0
0.05,0.04776238397604549,0.22398787628785993,2.0,0.5,0.15,5.0
0.06,0.045876609522024735,0.21672788014246416,2.0,0.5,0.15,5.0
0.07,0.04443842273239314,0.21111879939261893,2.0,0.5,0.15,5.0
0.08,0.04336178073263318,0.2068781558063192,2.0,0.5,0.15,5.0
0.09,0.04258686534370011,0.20380359814751564,2.0,0.5,0.15,5.0
0.1,0.04207100517088118,0.20174640183099884,2.0,0.5,0.15,5.0
0.11,0.04178332122173854,0.20059549171221638,2.0,0.5,0.15,5.0
0.12,0.04170139051623344,0.20026723853784015,2.0,0.5,0.15,5.0
0.13,0.04180907904010373,0.2006986456435733,2.0,0.5,0.15,5.0
0.14,0.04209508927593694,0.2018426338391602,2.0,0.5,0.15,5.0
0.15,0.042551963944577775,0.20366467974646968,2.0,0.5,0.15,5.0
0.16,0.04317539206617345,0.2061403562036004,2.0,0.5,0.15,5.0
0.17,0.043963722044595074,0.2092534892822081,2.0,0.5,0.15,5.0
0.18,0.04491762081951688,0.21299474459013834,2.0,0.5,0.15,5.0
0.19,0.04603983901840209,0.21736051574040804,2.0,0.5,0.15,5.0
0.2,0.04733505515367928,0.22235202597110604,2.0,0.5,0.15,5.0
0.21,0.04880978036537438,0.2279745786525826,2.0,0.5,0.15,5.0
0.22,0.050472310781916635,0.23423690886481488,2.0,0.5,0.15,5.0
0.23,0.05233271830544456,0.2411505993882795,2.0,0.5,0.15,5.0
0.24,0.054402873152205704,0.24872953219834748,2.0,0.5,0.15,5.0
0.25,0.0566964931808255,0.2569893520910538,2.0,0.5,0.15,5.0
0.26,0.05922921616232295,0.2659469232050305,2.0,0.5,0.15,5.0
0.27,0.06201869183569985,0.27561976250761044,2.0,0.5,0.15,5.0
0.28,0.06508469094308177,0.28602543720170276,2.0,0.5,0.15,5.0
0.29,0.06844922850105012,0.2971809158089032,2.0,0.5,0.15,5.0
0.3,0.07213669836533564,0.3091018656550243,2.0,0.5,0.15,5.0
0.31,0.07617401569054806,0.32180189283952787,2.0,0.5,0.15,5.0
0.32,0.08059076316709095,0.3352917246769419,2.0,0.5,0.15,5.0
0.33,0.08541933591577862,0.34957833917096426,2.0,0.5,0.15,5.0
0.34,0.09069507861227045,0.36466405136972774,2.0,0.5,0.15,5.0
0.35000000000000003,0.09645640677099795,0.38054557241880826,2.0,0.5,0.15,5.0
0.36,0.10274490211678906,0.39721306363671655,2.0,0.5,0.15,5.0
0.37,0.10960536959578461,0.4146492147200334,2.0,0.5,0.15,5.0
0.38,0.11708584082729022,0.4328283818363643,2.0,0.5,0.15,5.0
0.39,0.1252375057065329,0.4517158273347029,2.0,0.5,0.15,5.0
0.4,0.13411455051216878,0.47126710742045697,2.0,0.5,0.15,5.0
0.41000000000000003,0.14377387739414543,0.49142765664601545,2.0,0.5,0.15,5.0
0.42,0.15427467674820375,0.5121326176805595,2.0,0.5,0.15,5.0
0.43,0.16567782106828785,0.533306960847618,2.0,0.5,0.15,5.0
0.44,0.17804504689321374,0.5548659298566455,2.0,0.5,0.15,5.0
0.45,0.19143789107608475,0.5767158378306879,2.0,0.5,0.15,5.0
0.46,0.20591634962041583,0.5987552214078897,2.0,0.5,0.15,5.0
0.47000000000000003,0.2215372327159641,0.6208763411434776,2.0,0.5,0.15,5.0
0.48,0.23835219944058011,0.6429669949561053,2.0,0.5,0.15,5.0
0.49,0.25640547093564,0.6649125896926579,2.0,0.5,0.15,5.0
0.5,0.27573124259175763,0.6865983960611606,2.0,0.5,0.15,5.0
0.51,0.296350844340403,0.7079118962847835,2.0,0.5,0.15,5.0
0.52,0.3182697332140997,0.7287451237100245,2.0,0.5,0.15,5.0
0.53,0.3414744424631352,0.7489968905949634,2.0,0.5,0.15,5.0
0.54,0.3659296537840065,0.7685748050068284,2.0,0.5,0.15,5.0
0.55,0.391575599036289,0.7873969899118326,2.0,0.5,0.15,5.0
0.56,0.41832602900436855,0.8053934360374605,2.0,0.5,0.15,5.0
0.5700000000000001,0.44606700196837185,0.8225069431211266,2.0,0.5,0.15,5.0
0.58,0.4746567366011761,0.8386936294766032,2.0,0.5,0.15,5.0
